
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;dnb global indeks s;dnb grönt skifte norden s;dnb health care s;dnb smb s;dnb teknologi s;east capital global emerging markets sustainable a;east capital global frontier markets a;enter cross credit a;enter select a;evli corporate bond placeringsfonden b;evli emerging markets credit placeringsfonden b;evli finland select placeringsfonden b;evli gem placeringsfonden b;evli global placeringsfonden b;evli high yield placeringsfonden b;evli likviditet placeringsfonden b;evli short corporate bond placeringsfonden b;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;;;;;;;;;;-0,088;-0,095;-0,129;-0,161;-0,090;-0,120;-0,052;-0,082;
2022-10-06;;;;;;-0,151;-0,193;-0,066;-0,141;-0,089;-0,094;-0,131;-0,155;-0,088;-0,121;-0,052;-0,082;
2022-10-07;;;;;;-0,153;-0,193;-0,066;-0,154;-0,090;-0,093;-0,136;-0,155;-0,093;-0,122;-0,053;-0,080;
2022-10-10;;;;;;-0,153;-0,190;-0,066;-0,154;-0,092;;-0,136;;-0,090;-0,124;-0,053;-0,078;
2022-10-11;;;;;;-0,162;-0,191;-0,066;-0,156;-0,093;-0,093;-0,135;-0,163;-0,091;-0,126;-0,053;-0,078;
2022-10-12;;;;;;-0,160;-0,189;-0,066;-0,157;-0,094;-0,092;-0,135;-0,159;-0,092;-0,127;-0,053;-0,077;
2022-10-13;;;;;;-0,164;-0,189;-0,066;-0,152;-0,095;-0,094;-0,131;-0,166;-0,089;-0,128;-0,053;-0,078;
2022-10-14;;;;;;-0,156;-0,186;-0,066;-0,148;-0,094;-0,096;-0,128;-0,161;-0,089;-0,126;-0,053;-0,079;
2022-10-17;;;;;;-0,162;-0,191;-0,066;-0,138;-0,094;-0,097;-0,119;-0,161;-0,088;-0,125;-0,053;-0,078;
2022-10-18;;;;;;-0,160;-0,192;-0,066;-0,129;-0,093;-0,100;-0,119;-0,160;-0,085;-0,123;-0,053;-0,080;
2022-10-19;;;;;;-0,163;-0,190;-0,066;-0,142;-0,094;-0,101;-0,122;-0,157;-0,087;-0,124;-0,053;-0,080;
2022-10-20;;;;;;-0,161;-0,188;-0,066;-0,143;-0,095;-0,103;-0,124;-0,158;-0,089;-0,125;-0,053;-0,080;
2022-10-21;;;;;;-0,163;-0,195;-0,066;-0,144;-0,095;-0,102;-0,121;-0,156;-0,082;-0,127;-0,053;-0,077;
2022-10-24;;;;;;-0,172;-0,198;-0,067;-0,134;-0,094;-0,102;-0,116;-0,158;-0,079;-0,125;-0,053;-0,075;
2022-10-25;;;;;;-0,179;-0,206;-0,067;-0,125;-0,091;-0,105;-0,113;-0,168;-0,079;-0,123;-0,053;-0,077;
2022-10-26;;;;;;-0,177;-0,207;-0,067;-0,123;-0,089;-0,107;-0,113;-0,172;-0,080;-0,121;-0,053;-0,080;
