
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;franklin us opportunities fund a;godfond sverige & världen;goldman sachs asia equity income p;goldman sachs global equity impact opportunities p;goldman sachs global social impact equity p;goldman sachs greater china equity p;goldman sachs green bond p;goldman sachs japan equity p (former nn);goldman sachs protection p;handelsbanken amerika tema a1;handelsbanken asien tema a1;handelsbanken developed markets index criteria a1;handelsbanken emerging markets index a1;handelsbanken europa index criteria a1;handelsbanken global index criteria a1;handelsbanken global småbolag index criteria a1;handelsbanken global tema a1;
2022-02-25;;;;;;;;;;;;;;;;;;
2022-02-28;;;;;;;;;;;;;;;;;;
2022-03-01;;;;;;;;;;;;;;;;;;
2022-05-31;;;;;;;;;;;;;;;;;;
2022-06-07;;;;;;;;;;;;;;;;;;
2022-06-08;;;;;;;;;;;;;;;;;;
2022-06-16;;;;;;;;;;;;;;;;;;
2022-06-28;;;;;;;;;;;;;;;;;;
2022-08-22;;;;;;;;;;;;;;;;;;
2022-08-30;;;;;;;;;;;;;;;;;;
2022-09-30;;;;;;;;;;;;;;;;;;
2022-10-03;;;;;;;;;;;;;;;;;;
2022-10-04;;;;;;;;;;;;;;;;;;
2022-10-05;-0,156;;;;;;;;;;;;;;;;;
2022-10-06;-0,158;-0,138;;;;;;;;-0,122;-0,063;;-0,074;-0,171;-0,134;-0,074;-0,082;
2022-10-07;-0,167;-0,148;;;;;;;;-0,131;-0,066;;-0,077;-0,177;-0,140;-0,082;-0,089;
2022-10-10;-0,169;-0,146;;;;;;;;-0,132;-0,069;;-0,078;-0,174;-0,140;-0,081;-0,088;
2022-10-11;-0,175;-0,148;;;;;;;;-0,138;-0,080;;-0,087;-0,178;-0,146;-0,087;-0,093;
2022-10-12;-0,174;-0,150;;;;;;;;-0,133;-0,079;;-0,086;-0,177;-0,144;-0,085;-0,091;
2022-10-13;-0,167;-0,144;;;;;;;;-0,143;-0,086;;-0,092;-0,180;-0,150;-0,090;-0,099;
2022-10-14;-0,183;-0,146;;;;;;;;-0,129;-0,081;;-0,088;-0,169;-0,139;-0,078;-0,089;
2022-10-17;-0,168;-0,138;;;;;;;;-0,132;-0,085;;-0,090;-0,165;-0,141;-0,080;-0,091;
2022-10-18;-0,169;-0,134;;;;;;;;-0,129;-0,084;;-0,089;-0,163;-0,138;-0,076;-0,089;
2022-10-19;-0,175;-0,139;;;;;;;;-0,133;-0,088;;-0,093;-0,167;-0,140;-0,081;-0,093;
2022-10-20;-0,174;-0,142;;;;;;;;-0,132;-0,089;;-0,091;-0,167;-0,139;-0,082;-0,094;
2022-10-21;-0,164;-0,138;;;;;;;;-0,133;-0,091;;-0,091;-0,166;-0,139;-0,084;-0,095;
2022-10-24;-0,161;-0,134;;;;;;;;-0,127;-0,112;;-0,105;-0,157;-0,134;-0,078;-0,090;
2022-10-25;-0,153;-0,130;;;;;;;;-0,129;-0,118;;-0,111;-0,159;-0,137;-0,079;-0,092;
2022-10-26;-0,168;-0,130;;;;;;;;-0,133;-0,115;;-0,109;-0,157;-0,138;-0,076;-0,091;
2022-10-27;-0,173;-0,131;;;;;;;;-0,135;-0,111;;-0,106;-0,157;-0,138;-0,074;-0,091;
2022-10-28;-0,160;-0,127;;;;;;;;-0,133;-0,119;;-0,112;-0,157;-0,136;-0,073;-0,089;
2022-10-31;-0,164;-0,127;;;;;;;;-0,127;-0,113;;-0,106;-0,154;-0,130;-0,067;-0,084;
